sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;200;25.0;37.4432904537;26.2179021974;2.63564116804;1.0;46.0;24.01;13.5966870965
10;200;24.6170672502;33.6600653594;26.3958045479;2.39405561151;1.0;12.0;6.845;3.18291925754
20;200;23.9791576166;32.4345494805;25.8907571824;2.55023381757;1.0;12.0;5.505;3.08382473562
30;200;23.3452350599;29.9666481275;24.6272434248;1.63214009757;1.0;9.0;5.235;2.186269654
40;200;22.9564805665;28.0;23.9775274173;1.51926921664;1.0;10.0;5.605;2.56689988118
50;200;22.4722050542;26.4575131106;23.5422379713;1.15023097861;1.0;8.0;4.39;1.91256372443
60;200;22.2710574513;25.2784493195;22.8293895071;0.777158114108;1.0;7.0;5.095;2.12272819739
70;200;22.0907220344;24.0;22.4435887083;0.485104001397;1.0;7.0;4.77;2.14874381907
80;200;21.6564078277;23.3238075794;22.2518485305;0.524630322156;1.0;7.0;3.425;1.89588369896
90;200;20.7364413533;22.7815714998;22.10928232;0.542803183309;1.0;3.0;1.71;0.675203672976
100;200;20.4205778567;22.427661492;21.8265341433;0.746597140799;1.0;3.0;1.615;0.83473049543
