sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;25.0399680511;36.4691650576;26.0454971726;2.23205668252;1.0;46.0;24.87;13.9367535675
10;100;24.8394846967;33.8673884438;26.6859286332;2.65541201759;1.0;18.0;8.31;5.29092619491
20;100;24.474476501;32.5269119346;26.0980747635;2.30445083223;1.0;12.0;6.28;3.58351782471
30;100;23.8956062907;30.5450486986;25.7121900153;2.30939052894;1.0;7.0;4.13;2.08160995386
40;100;23.4733891886;27.7848879789;24.8133603837;1.44469597766;1.0;8.0;3.88;2.03607465482
50;100;22.7156333832;25.9615099715;23.4978760517;1.01971616623;1.0;8.0;5.15;2.79060925248
60;100;22.1810730128;24.2074368738;23.2224682627;0.704959423685;1.0;5.0;2.74;1.3162066707
70;100;21.7255609824;23.0434372436;22.5824907333;0.43716390506;1.0;5.0;2.81;1.4401041629
80;100;21.3307290077;22.7156333832;22.1630650771;0.434219284425;1.0;5.0;2.74;1.42562267098
90;100;20.9045449604;22.3383079037;22.0848811215;0.409909562272;1.0;4.0;1.61;0.988888264669
100;100;20.4939015319;22.2485954613;21.8112259816;0.648398935883;1.0;4.0;1.77;1.24783813053
