sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std
0;400;0.00269836801332;0.00380826717121;0.00353963520526;0.000182932821234
10;181;0.0038080777629;0.00394549022204;0.00390118922155;1.97548928299e-05
20;167;0.00387061489776;0.00398476127023;0.00396828412561;1.42934339549e-05
30;170;0.00389216797885;0.00403212028267;0.00401772594502;1.97971514034e-05
40;180;0.00392360378613;0.00407767022622;0.00405534979931;1.78149360658e-05
50;193;0.00396237041312;0.00410649390257;0.00408948642794;2.45991669562e-05
60;177;0.0039363970217;0.0041396758822;0.00412278065952;3.29798037923e-05
70;216;0.00391409174429;0.00417369005604;0.0041499062799;3.47865459406e-05
80;178;0.00396565402784;0.00420857205953;0.00418844196665;3.2266769675e-05
90;171;0.00399222567162;0.0042483937422;0.0042276895117;3.32113021061e-05
100;172;0.00401592757962;0.00431034482759;0.00427142105212;3.53649170171e-05
110;164;0.00400911177533;0.0043402156758;0.00431400691699;4.35800176076e-05
120;172;0.00411154982235;0.00439292834862;0.00436417211304;4.50585219555e-05
130;169;0.00412260961461;0.00454366763525;0.00443355125515;6.87465089618e-05
140;167;0.00410788332803;0.00458389086035;0.00454694849549;6.9196061243e-05
150;183;0.00418317117491;0.0046410194758;0.0046009093992;7.41674279053e-05
160;184;0.00409694351348;0.00468941713686;0.00465280208951;8.11692306274e-05
170;153;0.00421449033373;0.00478521202494;0.00475126459902;8.31959839614e-05
180;187;0.00425874916131;0.00486265037237;0.00480212769238;7.88661887452e-05
190;176;0.00427106859853;0.00491856661996;0.00485980213907;0.00010926290274
200;176;0.00435170792609;0.00496995959402;0.00491222976011;0.000114362047359
210;171;0.00433003628018;0.0050365760925;0.00498209885953;0.000112410597267
220;184;0.00436487132986;0.00509893134243;0.00504878141859;0.000123219761035
230;166;0.0043257414411;0.00513461236544;0.00508885560119;0.000128893096046
240;183;0.00440057844474;0.00521588529531;0.00516745007029;0.000124052272379
250;184;0.00447476041328;0.00536607475349;0.005253490562;0.000156584523919
260;169;0.00452311609902;0.00546806425201;0.00539020082981;0.00015304108026
