sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;629.0;1344.0;699.86;164.775484827;1.0;46.0;22.86;13.6242577779
10;100;622.0;626.0;625.8;0.707106781187;15.0;16.0;15.63;0.482804308183
20;100;619.0;622.0;620.59;0.549454274713;15.0;18.0;16.14;0.812649986156
30;100;617.0;618.0;617.54;0.498397431775;15.0;18.0;16.01;0.964313227121
40;100;615.0;616.0;615.87;0.336303434416;15.0;17.0;15.06;0.310483493925
50;100;611.0;612.0;611.99;0.0994987437107;15.0;16.0;15.02;0.14
60;100;607.0;610.0;608.46;0.8416650165;15.0;16.0;15.11;0.312889756943
70;100;603.0;605.0;604.78;0.437721372565;15.0;15.0;15.0;0.0
80;100;599.0;602.0;601.18;0.683812839891;15.0;15.0;15.0;0.0
90;100;596.0;598.0;597.14;0.510294032887;15.0;15.0;15.0;0.0
100;100;591.0;593.0;592.82;0.433128156554;15.0;15.0;15.0;0.0
