sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;100;627.0;1341.0;693.36;149.569149225;1.0;46.0;25.81;14.4573130284
10;100;612.0;1074.0;679.08;120.755925735;1.0;14.0;7.93;4.62872552654
20;100;576.0;908.0;633.58;93.4081559608;1.0;10.0;6.0;3.0166206258
30;100;528.0;822.0;609.33;96.3399247457;1.0;6.0;3.69;1.84225405414
40;100;501.0;653.0;563.97;50.8756238291;1.0;6.0;2.63;1.55341559153
50;100;447.0;552.0;495.13;30.404162544;1.0;4.0;2.61;1.11260954517
60;100;409.0;506.0;460.8;37.0912388577;1.0;4.0;2.41;1.28914700481
70;100;367.0;491.0;454.67;43.1550819719;1.0;4.0;1.63;1.00652868812
80;100;337.0;484.0;456.91;51.4293875134;1.0;4.0;1.39;0.881986394453
90;100;308.0;482.0;464.21;45.0347188289;1.0;4.0;1.17;0.510979451642
100;100;272.0;481.0;438.62;65.7593765177;1.0;4.0;1.33;0.584037670018
