sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;626.0;1390.0;682.559;131.665479603;1.0;46.0;23.98;13.1761754694
10;1000;587.0;602.0;598.159;2.48228100746;11.0;17.0;12.413;1.19097900905
20;1000;551.0;562.0;559.397;2.08791546764;11.0;16.0;12.832;1.18986385776
30;1000;528.0;535.0;533.116;1.3448211777;12.0;14.0;12.428;0.496805797068
40;1000;495.0;507.0;504.347;2.1574501153;12.0;14.0;12.535;0.500774400304
50;1000;468.0;479.0;476.225;1.94740211564;12.0;14.0;12.814;0.724847570183
60;1000;421.0;446.0;438.105;7.1053483377;12.0;14.0;12.202;0.403975246766
70;1000;379.0;392.0;389.019;2.3410764618;12.0;12.0;12.0;0.0
80;1000;344.0;354.0;351.132;1.9536058968;12.0;12.0;12.0;0.0
90;1000;310.0;320.0;316.395;2.48736306156;12.0;12.0;12.0;0.0
100;1000;272.0;288.0;283.247;3.21216297843;12.0;12.0;12.0;0.0
