sep=;
gen;evals;Obj1_Min;Obj1_Max;Obj1_Avg;Obj1_Std;Obj2_Min;Obj2_Max;Obj2_Avg;Obj2_Std
0;1000;621.0;1466.0;684.399;131.654099059;1.0;46.0;23.823;13.3066776845
10;1000;1040.0;1564.0;1291.307;123.001401419;1.0;1.0;1.0;0.0
20;1000;933.0;1612.0;1286.678;173.086632401;1.0;1.0;1.0;0.0
30;1000;857.0;1646.0;1258.776;213.528990594;1.0;1.0;1.0;0.0
40;1000;734.0;1704.0;1242.921;265.1813507;1.0;1.0;1.0;0.0
50;1000;627.0;1749.0;1193.151;308.840894635;1.0;1.0;1.0;0.0
60;1000;556.0;1792.0;1189.038;348.392093131;1.0;1.0;1.0;0.0
70;1000;530.0;1816.0;1166.412;365.752124062;1.0;1.0;1.0;0.0
80;1000;511.0;1832.0;1169.11;378.107045557;1.0;1.0;1.0;0.0
90;1000;502.0;1865.0;1183.185;397.409950523;1.0;1.0;1.0;0.0
100;1000;499.0;1888.0;1192.085;398.29870421;1.0;1.0;1.0;0.0
