sep=;
Role;Attribute1;Attribute2;Attribute3;
1;Motor;Germany,US;External;
2;Administration;Germany,Denmark;Internal;
3;Motor;Denmark;Internal;
4;Motor;US,Germany;External;
5;Motor,Administration;US;;
6;Motor,Administration;;;
7;Administration;Denmark;External;
8;;US,Denmark;;
9;;Denmark;External;
10;Sales,Administration;;Internal;
11;Sales,Administration;;;
12;Motor,Administration;Germany,Denmark;Internal;
13;;Denmark,Germany;;
14;;Germany,Denmark;External;
15;Sales,Administration;;External;
16;Motor;;;
17;;Denmark;;
18;Motor;;;
