sep=;
User;Permission1;Permission2;Permission3;Permission4;Permission5;Permission6;Permission7;Permission8;Permission9;Permission10;Permission11;Permission12;Permission13;Permission14;Permission15;Permission16;Permission17;Permission18;Permission19;Permission20;Permission21;Permission22;Permission23;Permission24;Permission25;Permission26;Permission27;Permission28;Permission29;Permission30;Permission31;Permission32;Permission33;Permission34;Permission35;Permission36;Permission37;Permission38;Permission39;Permission40;Permission41;Permission42;Permission43;Permission44;Permission45;Permission46;
1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
2;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
3;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
4;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
5;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
6;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
7;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;
8;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
9;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
10;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
11;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
12;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
13;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
14;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
15;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
16;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
17;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
18;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
19;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
20;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
21;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
22;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;
23;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1;
24;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;
25;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;
26;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;
27;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;
