sep=;
User;Attribute1;Attribute2;Attribute3;
1;Administration;Denmark;External;
2;Administration;Denmark;External;
3;Administration;Denmark;External;
4;Administration;Denmark;External;
5;Administration;Denmark;External;
6;Administration;Denmark;External;
7;Administration;Denmark;External;
8;Administration;Denmark;Internal;
9;Administration;Denmark;Internal;
10;Administration;Denmark;Internal;
11;Administration;Denmark;Internal;
12;Administration;Denmark;Internal;
13;Administration;Denmark;Internal;
14;Administration;Denmark;Internal;
15;Administration;Denmark;Internal;
16;Administration;Denmark;Internal;
17;Administration;Denmark;Internal;
18;Administration;Denmark;Internal;
19;Administration;Denmark;Internal;
20;Administration;Denmark;Internal;
21;Administration;Denmark;Internal;
22;Administration;Denmark;Internal;
23;Administration;Germany;Internal;
24;Motor;Denmark;Internal;
25;Motor;Denmark;Internal;
26;Motor;Denmark;Internal;
27;Motor;Denmark;Internal;
28;Motor;US;External;
29;Sales;Denmark;Internal;
30;Sales;Denmark;Internal;
31;Sales;Denmark;Internal;
32;Sales;Denmark;Internal;
33;Sales;Denmark;Internal;
34;Sales;Denmark;Internal;
35;Sales;US;Internal;
36;Sales;US;Internal;
37;Sales;US;Internal;
38;Sales;US;Internal;
39;Sales;US;Internal;
40;Sales;US;Internal;
41;Sales;US;Internal;
42;Sales;US;Internal;
43;Sales;US;Internal;
44;Sales;US;Internal;
45;Sales;US;Internal;
46;Sales;US;Internal;
